Hospitalizations - Total,Cases - Total,Deaths - Total,Date
23.0,389.0,3.0,02/09/2023
10.0,125.0,0.0,08/02/2023
13.0,281.0,1.0,04/09/2022
17.0,146.0,0.0,08/09/2023
27.0,328.0,2.0,12/04/2023
17.0,236.0,6.0,02/23/2022
122.0,833.0,13.0,11/15/2020
40.0,323.0,3.0,01/04/2024
23.0,261.0,0.0,09/19/2023
28.0,480.0,1.0,06/19/2022
6.0,51.0,0.0,06/30/2021
33.0,622.0,0.0,05/22/2022
21.0,376.0,6.0,10/12/2021
17.0,355.0,2.0,07/30/2021
10.0,47.0,0.0,05/20/2023
38.0,812.0,0.0,07/29/2022
3.0,45.0,0.0,07/10/2023
7.0,92.0,0.0,07/18/2021
16.0,123.0,1.0,10/13/2023
20.0,431.0,2.0,01/23/2023
35.0,464.0,4.0,02/06/2023
2.0,48.0,0.0,06/14/2023
40.0,497.0,6.0,09/02/2021
18.0,45.0,2.0,05/31/2021
16.0,104.0,2.0,10/06/2023
8.0,240.0,0.0,08/28/2023
16.0,172.0,0.0,09/15/2023
21.0,195.0,1.0,03/17/2023
79.0,1665.0,18.0,12/28/2020
30.0,383.0,4.0,10/01/2021
20.0,608.0,1.0,05/08/2022
24.0,157.0,1.0,03/11/2023
11.0,167.0,0.0,05/04/2023
31.0,280.0,1.0,11/19/2022
12.0,709.0,0.0,04/20/2022
125.0,2300.0,32.0,11/20/2020
14.0,135.0,0.0,04/20/2023
11.0,93.0,0.0,05/18/2023
7.0,13.0,0.0,03/11/2020
18.0,170.0,2.0,09/19/2020
8.0,64.0,5.0,06/09/2021
142.0,2462.0,21.0,11/17/2020
18.0,129.0,0.0,09/09/2023
17.0,336.0,10.0,03/10/2021
42.0,260.0,0.0,12/30/2023
28.0,462.0,7.0,09/30/2021
41.0,307.0,5.0,04/04/2021
88.0,1348.0,24.0,12/17/2020
2.0,1.0,0.0,03/04/2020
25.0,182.0,2.0,02/11/2023
16.0,381.0,15.0,02/14/2022
39.0,322.0,0.0,12/07/2023
46.0,828.0,0.0,12/06/2022
29.0,1141.0,0.0,06/06/2022
87.0,1878.0,10.0,01/04/2021
33.0,554.0,4.0,11/27/2021
25.0,453.0,0.0,02/07/2023
14.0,204.0,2.0,03/29/2023
158.0,326.0,22.0,04/04/2020
13.0,141.0,3.0,07/25/2021
24.0,554.0,3.0,08/24/2020
28.0,95.0,6.0,05/23/2021
41.0,742.0,6.0,11/16/2021
32.0,244.0,2.0,09/19/2021
21.0,161.0,1.0,01/23/2024
31.0,235.0,20.0,06/15/2020
52.0,774.0,0.0,12/21/2022
107.0,2140.0,13.0,11/03/2020
61.0,647.0,6.0,04/26/2021
19.0,139.0,2.0,01/26/2024
11.0,150.0,0.0,10/18/2023
25.0,346.0,3.0,07/24/2020
10.0,68.0,0.0,06/07/2023
87.0,1603.0,16.0,01/05/2021
23.0,158.0,1.0,01/25/2024
47.0,454.0,1.0,12/30/2022
97.0,888.0,27.0,05/19/2020
40.0,820.0,2.0,12/15/2022
28.0,680.0,0.0,06/17/2022
18.0,117.0,1.0,09/16/2023
122.0,367.0,5.0,03/25/2020
22.0,100.0,2.0,07/19/2020
22.0,100.0,5.0,08/30/2020
69.0,970.0,22.0,12/31/2020
46.0,347.0,1.0,10/18/2020
6.0,63.0,0.0,08/06/2023
7.0,122.0,0.0,03/19/2022
28.0,320.0,4.0,09/05/2021
29.0,876.0,5.0,10/13/2020
18.0,125.0,0.0,11/11/2023
170.0,436.0,15.0,04/02/2020
18.0,205.0,1.0,09/12/2023
31.0,588.0,1.0,08/18/2022
50.0,646.0,1.0,12/16/2022
65.0,1713.0,21.0,12/29/2020
16.0,48.0,11.0,06/21/2020
96.0,2512.0,8.0,11/04/2020
3.0,25.0,0.0,07/02/2023
26.0,490.0,4.0,11/02/2021
79.0,915.0,21.0,12/12/2020
43.0,511.0,6.0,09/03/2021
51.0,1204.0,18.0,01/08/2021
14.0,69.0,0.0,03/02/2024
22.0,96.0,1.0,03/17/2020
91.0,724.0,36.0,05/22/2020
23.0,425.0,6.0,02/10/2022
13.0,125.0,2.0,03/11/2022
166.0,719.0,49.0,05/02/2020
28.0,161.0,1.0,11/24/2022
23.0,548.0,1.0,10/07/2020
30.0,245.0,6.0,05/21/2021
63.0,624.0,15.0,01/16/2021
23.0,247.0,1.0,11/22/2023
58.0,1180.0,6.0,10/21/2020
15.0,192.0,0.0,05/10/2023
34.0,592.0,1.0,06/04/2022
17.0,330.0,3.0,09/01/2020
18.0,315.0,4.0,11/06/2021
31.0,1337.0,0.0,05/25/2022
35.0,276.0,0.0,12/16/2023
36.0,395.0,0.0,10/11/2022
30.0,220.0,2.0,03/06/2021
49.0,971.0,2.0,07/26/2022
29.0,188.0,3.0,11/13/2022
24.0,390.0,4.0,08/13/2020
118.0,2691.0,19.0,11/13/2020
24.0,386.0,1.0,05/30/2022
27.0,421.0,1.0,01/19/2023
26.0,351.0,1.0,12/11/2023
40.0,792.0,1.0,09/06/2022
90.0,612.0,24.0,12/27/2020
31.0,257.0,0.0,11/15/2023
32.0,419.0,1.0,03/06/2023
27.0,227.0,0.0,11/08/2023
173.0,704.0,36.0,04/08/2020
27.0,515.0,5.0,09/10/2021
24.0,394.0,5.0,07/20/2020
14.0,138.0,2.0,09/29/2023
29.0,318.0,3.0,07/23/2020
13.0,84.0,1.0,02/25/2024
32.0,828.0,0.0,06/14/2022
34.0,1097.0,1.0,06/03/2022
3.0,44.0,1.0,07/06/2023
53.0,644.0,12.0,01/26/2021
33.0,468.0,6.0,09/21/2021
37.0,568.0,3.0,08/24/2021
33.0,477.0,7.0,09/16/2021
21.0,122.0,1.0,09/03/2023
107.0,798.0,34.0,05/21/2020
96.0,1264.0,18.0,11/21/2020
16.0,235.0,4.0,02/24/2022
18.0,212.0,1.0,09/07/2023
14.0,165.0,1.0,08/17/2023
30.0,454.0,1.0,02/13/2023
21.0,199.0,0.0,11/10/2023
73.0,266.0,20.0,01/01/2021
37.0,681.0,4.0,10/12/2020
26.0,153.0,2.0,01/19/2024
39.0,445.0,2.0,01/04/2023
11.0,143.0,2.0,09/06/2020
33.0,315.0,6.0,02/18/2021
67.0,609.0,23.0,12/13/2020
36.0,309.0,9.0,05/11/2021
12.0,108.0,1.0,09/24/2023
18.0,162.0,1.0,09/21/2023
116.0,1145.0,30.0,01/16/2022
15.0,131.0,2.0,10/27/2023
4.0,45.0,0.0,07/05/2023
108.0,1670.0,28.0,12/11/2020
16.0,214.0,0.0,08/29/2023
5.0,79.0,0.0,05/24/2023
25.0,364.0,4.0,10/01/2020
32.0,232.0,4.0,12/01/2023
4.0,30.0,2.0,06/19/2021
7.0,356.0,1.0,04/16/2022
106.0,2049.0,36.0,12/02/2020
21.0,127.0,1.0,03/19/2023
10.0,52.0,0.0,05/13/2023
30.0,252.0,2.0,09/04/2022
10.0,97.0,3.0,01/20/2024
43.0,785.0,13.0,02/01/2022
162.0,1074.0,54.0,04/24/2020
42.0,575.0,1.0,08/25/2022
25.0,252.0,1.0,11/06/2023
22.0,332.0,5.0,03/09/2021
127.0,1121.0,48.0,05/04/2020
12.0,84.0,1.0,04/16/2023
6.0,90.0,1.0,07/25/2023
17.0,158.0,0.0,02/08/2024
37.0,130.0,5.0,05/22/2021
21.0,384.0,4.0,09/28/2021
27.0,466.0,5.0,08/06/2021
6.0,197.0,1.0,03/26/2022
42.0,382.0,0.0,12/28/2023
33.0,266.0,5.0,09/12/2021
41.0,422.0,2.0,11/11/2022
24.0,133.0,0.0,03/25/2023
47.0,949.0,3.0,08/01/2022
6.0,45.0,1.0,06/27/2023
17.0,125.0,0.0,10/20/2023
1.0,29.0,0.0,06/17/2023
61.0,125.0,2.0,03/21/2020
19.0,294.0,1.0,03/15/2023
46.0,874.0,1.0,07/28/2022
28.0,543.0,1.0,11/14/2022
32.0,689.0,2.0,09/07/2022
16.0,518.0,4.0,09/15/2021
91.0,898.0,18.0,11/29/2020
28.0,298.0,2.0,07/16/2020
38.0,495.0,5.0,09/14/2021
11.0,50.0,2.0,06/28/2021
136.0,341.0,33.0,04/12/2020
21.0,176.0,2.0,10/02/2022
23.0,392.0,2.0,07/31/2020
90.0,708.0,28.0,12/06/2020
4.0,47.0,0.0,06/15/2023
19.0,198.0,0.0,02/18/2023
33.0,398.0,1.0,02/17/2023
151.0,677.0,31.0,04/16/2020
53.0,659.0,7.0,04/19/2021
3.0,77.0,1.0,06/01/2023
49.0,572.0,5.0,04/28/2021
166.0,1274.0,40.0,04/30/2020
21.0,94.0,2.0,01/21/2024
78.0,252.0,23.0,05/25/2020
129.0,2336.0,18.0,01/19/2022
17.0,115.0,2.0,08/09/2020
40.0,439.0,5.0,09/17/2021
83.0,1627.0,4.0,10/27/2020
156.0,459.0,35.0,04/19/2020
33.0,257.0,1.0,07/04/2022
80.0,1300.0,19.0,12/18/2020
20.0,525.0,2.0,06/12/2022
14.0,74.0,4.0,06/08/2021
31.0,262.0,0.0,11/20/2022
55.0,588.0,9.0,01/23/2021
24.0,420.0,2.0,09/21/2020
26.0,307.0,2.0,09/10/2022
84.0,1613.0,22.0,12/15/2020
10.0,159.0,1.0,09/25/2023
40.0,722.0,4.0,11/23/2021
12.0,87.0,1.0,03/12/2023
35.0,525.0,0.0,10/31/2022
42.0,499.0,2.0,11/09/2022
30.0,422.0,0.0,09/16/2022
10.0,159.0,0.0,08/14/2023
9.0,46.0,3.0,06/21/2021
23.0,1223.0,1.0,05/04/2022
20.0,813.0,1.0,04/28/2022
40.0,306.0,1.0,12/22/2023
11.0,200.0,10.0,10/17/2021
28.0,558.0,2.0,10/06/2020
51.0,904.0,3.0,12/20/2022
30.0,368.0,5.0,09/23/2021
27.0,110.0,5.0,06/28/2020
12.0,518.0,0.0,04/04/2022
30.0,372.0,1.0,08/20/2022
130.0,413.0,2.0,03/26/2020
39.0,787.0,0.0,08/05/2022
21.0,106.0,2.0,10/21/2023
16.0,90.0,3.0,07/05/2020
37.0,345.0,2.0,08/28/2022
10.0,124.0,4.0,02/19/2022
12.0,100.0,0.0,10/09/2023
2.0,48.0,0.0,07/11/2023
31.0,282.0,0.0,01/08/2024
11.0,134.0,0.0,08/08/2023
6.0,400.0,1.0,03/30/2022
29.0,167.0,1.0,09/27/2020
60.0,1053.0,15.0,01/14/2021
28.0,344.0,6.0,07/10/2020
20.0,553.0,3.0,10/05/2020
8.0,269.0,0.0,03/22/2022
25.0,326.0,2.0,07/26/2021
53.0,363.0,5.0,04/11/2021
9.0,67.0,3.0,06/14/2021
7.0,93.0,7.0,02/27/2022
63.0,511.0,8.0,12/05/2021
10.0,45.0,0.0,06/24/2021
33.0,215.0,2.0,12/24/2023
10.0,362.0,0.0,03/29/2022
15.0,205.0,2.0,09/24/2022
151.0,2556.0,26.0,11/16/2020
35.0,289.0,6.0,05/14/2021
1.0,85.0,1.0,07/20/2023
42.0,355.0,7.0,03/28/2021
8.0,68.0,0.0,05/07/2023
25.0,829.0,0.0,06/10/2022
18.0,96.0,6.0,07/26/2020
19.0,430.0,5.0,08/21/2020
19.0,187.0,0.0,11/18/2023
21.0,210.0,0.0,04/12/2023
19.0,397.0,0.0,03/01/2023
94.0,1463.0,26.0,12/21/2020
103.0,1460.0,21.0,12/14/2020
24.0,248.0,21.0,06/12/2020
13.0,127.0,0.0,08/27/2023
113.0,3986.0,11.0,12/16/2021
19.0,169.0,0.0,09/01/2023
35.0,441.0,2.0,10/20/2022
51.0,1196.0,5.0,10/20/2020
36.0,823.0,1.0,06/24/2022
133.0,1255.0,23.0,11/27/2020
29.0,933.0,3.0,07/27/2022
55.0,675.0,3.0,04/02/2021
2.0,45.0,1.0,06/13/2023
7.0,55.0,0.0,05/26/2023
5.0,107.0,0.0,07/26/2023
18.0,281.0,4.0,02/18/2022
49.0,366.0,11.0,02/10/2021
39.0,437.0,10.0,02/11/2021
9.0,509.0,3.0,04/07/2022
148.0,630.0,31.0,04/15/2020
6.0,54.0,1.0,07/02/2021
26.0,587.0,3.0,08/16/2021
31.0,462.0,1.0,11/03/2022
27.0,164.0,3.0,01/12/2024
47.0,772.0,9.0,04/14/2021
29.0,345.0,5.0,01/13/2023
37.0,362.0,2.0,08/21/2022
28.0,1354.0,3.0,06/01/2022
31.0,287.0,5.0,08/15/2021
7.0,55.0,0.0,06/16/2023
43.0,1014.0,1.0,07/11/2022
13.0,234.0,2.0,03/16/2022
11.0,305.0,0.0,03/31/2022
41.0,369.0,0.0,12/21/2023
192.0,3620.0,30.0,01/13/2022
40.0,382.0,4.0,11/14/2021
25.0,130.0,1.0,08/23/2020
20.0,600.0,2.0,08/11/2021
18.0,691.0,0.0,05/07/2022
13.0,256.0,0.0,03/15/2022
25.0,223.0,1.0,11/13/2023
18.0,170.0,0.0,01/31/2024
28.0,334.0,1.0,02/20/2023
37.0,239.0,1.0,12/17/2023
44.0,304.0,1.0,01/03/2024
3.0,43.0,0.0,06/30/2023
56.0,337.0,2.0,12/29/2023
5.0,56.0,2.0,06/29/2021
10.0,82.0,1.0,03/13/2022
20.0,378.0,4.0,08/05/2020
53.0,747.0,23.0,01/28/2022
25.0,133.0,0.0,11/23/2023
19.0,446.0,3.0,07/29/2020
49.0,772.0,2.0,12/13/2022
13.0,169.0,0.0,09/11/2023
38.0,570.0,0.0,12/09/2022
22.0,155.0,8.0,07/25/2020
26.0,612.0,3.0,10/08/2020
14.0,77.0,1.0,03/16/2020
26.0,234.0,9.0,06/23/2020
26.0,343.0,1.0,10/28/2022
12.0,48.0,0.0,05/28/2023
23.0,141.0,0.0,11/12/2023
43.0,120.0,1.0,12/25/2022
38.0,521.0,1.0,07/10/2022
15.0,174.0,4.0,03/07/2021
44.0,547.0,5.0,10/17/2020
13.0,144.0,0.0,10/12/2023
142.0,1614.0,30.0,01/15/2022
19.0,174.0,1.0,01/24/2024
7.0,75.0,2.0,07/06/2021
11.0,107.0,0.0,08/01/2023
10.0,166.0,0.0,10/23/2023
23.0,230.0,1.0,10/29/2022
45.0,411.0,1.0,11/08/2022
7.0,61.0,0.0,04/02/2024
38.0,170.0,20.0,06/06/2020
4.0,20.0,0.0,06/26/2021
31.0,171.0,1.0,01/17/2024
37.0,441.0,3.0,08/07/2022
18.0,342.0,5.0,09/11/2020
3.0,102.0,0.0,05/23/2023
47.0,619.0,3.0,12/01/2022
17.0,883.0,0.0,04/27/2022
45.0,315.0,8.0,05/13/2021
52.0,550.0,9.0,04/30/2021
22.0,201.0,4.0,01/30/2024
14.0,926.0,0.0,04/26/2022
41.0,337.0,17.0,06/05/2020
11.0,154.0,2.0,10/26/2023
14.0,63.0,5.0,07/04/2020
7.0,546.0,1.0,04/14/2022
39.0,600.0,4.0,08/19/2022
27.0,285.0,1.0,11/16/2023
16.0,311.0,12.0,02/23/2021
15.0,543.0,1.0,04/11/2022
47.0,409.0,10.0,04/24/2021
9.0,117.0,0.0,08/20/2023
6.0,48.0,0.0,07/03/2021
10.0,62.0,6.0,06/05/2021
9.0,106.0,3.0,11/05/2023
15.0,268.0,0.0,09/06/2023
13.0,218.0,1.0,04/13/2023
36.0,427.0,2.0,09/22/2022
5.0,32.0,2.0,07/01/2021
37.0,426.0,1.0,11/04/2022
6.0,54.0,0.0,07/29/2023
221.0,4152.0,20.0,01/02/2022
25.0,1100.0,1.0,06/07/2022
113.0,1568.0,14.0,11/07/2020
19.0,121.0,6.0,05/27/2021
29.0,288.0,8.0,07/09/2020
23.0,207.0,9.0,09/26/2021
40.0,242.0,1.0,12/24/2022
54.0,1022.0,12.0,01/15/2021
18.0,166.0,0.0,11/02/2023
27.0,607.0,2.0,09/12/2022
98.0,1598.0,26.0,01/21/2022
20.0,567.0,1.0,07/16/2022
8.0,72.0,0.0,07/18/2023
7.0,113.0,0.0,04/08/2023
32.0,365.0,4.0,09/16/2020
29.0,1356.0,1.0,05/23/2022
20.0,131.0,0.0,11/04/2023
13.0,144.0,0.0,08/11/2023
11.0,159.0,0.0,04/27/2023
3.0,37.0,0.0,06/26/2023
44.0,739.0,1.0,06/15/2022
9.0,53.0,0.0,04/03/2024
17.0,96.0,0.0,04/09/2023
49.0,166.0,9.0,05/09/2021
38.0,887.0,1.0,11/28/2022
26.0,123.0,3.0,09/13/2020
5.0,46.0,0.0,05/27/2023
39.0,1048.0,2.0,07/06/2022
5.0,30.0,0.0,06/11/2023
21.0,221.0,5.0,08/15/2020
36.0,494.0,0.0,01/09/2023
47.0,657.0,14.0,01/27/2021
224.0,4831.0,36.0,01/07/2022
46.0,405.0,2.0,12/18/2023
37.0,600.0,6.0,03/26/2021
22.0,152.0,5.0,10/04/2020
31.0,279.0,7.0,06/29/2020
11.0,322.0,5.0,10/20/2021
28.0,174.0,5.0,07/03/2020
11.0,145.0,1.0,02/15/2024
13.0,106.0,2.0,03/26/2023
19.0,193.0,0.0,08/24/2023
31.0,494.0,2.0,09/13/2022
6.0,74.0,0.0,10/28/2023
158.0,1151.0,44.0,04/29/2020
15.0,125.0,1.0,04/07/2023
45.0,317.0,2.0,12/11/2022
30.0,376.0,15.0,02/05/2022
8.0,162.0,0.0,08/16/2023
27.0,400.0,0.0,01/27/2023
12.0,121.0,3.0,02/23/2024
9.0,132.0,1.0,02/02/2024
20.0,383.0,3.0,10/05/2021
6.0,35.0,2.0,06/17/2021
12.0,183.0,3.0,03/14/2022
46.0,970.0,0.0,07/21/2022
41.0,645.0,2.0,08/31/2022
24.0,360.0,0.0,09/29/2022
28.0,483.0,9.0,03/17/2021
76.0,1539.0,8.0,10/26/2020
38.0,365.0,11.0,05/07/2021
18.0,203.0,2.0,10/23/2022
39.0,420.0,1.0,01/06/2023
28.0,451.0,3.0,03/16/2021
28.0,359.0,3.0,08/28/2021
64.0,638.0,9.0,04/15/2021
37.0,953.0,3.0,10/16/2020
11.0,52.0,7.0,05/30/2021
17.0,192.0,0.0,04/18/2023
18.0,383.0,4.0,10/07/2021
10.0,86.0,0.0,10/29/2023
64.0,1207.0,15.0,12/10/2021
3.0,32.0,3.0,06/22/2021
32.0,368.0,6.0,03/15/2021
26.0,312.0,2.0,03/01/2021
23.0,128.0,5.0,06/01/2021
46.0,607.0,10.0,01/28/2021
17.0,173.0,0.0,04/24/2023
33.0,185.0,0.0,12/02/2023
79.0,611.0,4.0,12/04/2021
5.0,48.0,0.0,04/13/2024
7.0,69.0,1.0,03/08/2024
54.0,816.0,1.0,08/09/2022
38.0,571.0,7.0,02/03/2021
28.0,649.0,5.0,11/09/2021
158.0,439.0,12.0,03/30/2020
25.0,173.0,6.0,10/10/2021
149.0,7509.0,18.0,12/22/2021
16.0,75.0,6.0,06/04/2021
4.0,90.0,0.0,05/30/2023
24.0,469.0,1.0,09/09/2022
109.0,1105.0,11.0,11/08/2020
5.0,53.0,2.0,03/09/2024
18.0,180.0,0.0,04/17/2023
25.0,260.0,0.0,03/21/2023
27.0,542.0,0.0,07/02/2022
19.0,370.0,0.0,03/13/2023
26.0,372.0,1.0,01/25/2023
25.0,732.0,1.0,05/14/2022
92.0,278.0,27.0,05/24/2020
71.0,920.0,8.0,12/03/2021
24.0,268.0,7.0,07/15/2020
252.0,5755.0,38.0,01/06/2022
8.0,55.0,0.0,03/26/2024
13.0,117.0,0.0,08/26/2023
3.0,20.0,0.0,06/25/2023
20.0,40.0,0.0,03/15/2020
10.0,93.0,1.0,03/07/2024
7.0,28.0,0.0,03/30/2024
13.0,81.0,0.0,03/12/2024
32.0,450.0,3.0,06/26/2022
12.0,112.0,4.0,02/20/2022
102.0,2739.0,8.0,12/18/2021
15.0,306.0,5.0,10/22/2021
175.0,2058.0,24.0,01/09/2022
22.0,94.0,0.0,02/18/2024
31.0,175.0,0.0,11/26/2023
38.0,1179.0,1.0,05/19/2022
67.0,160.0,21.0,12/25/2020
46.0,916.0,1.0,12/12/2022
70.0,1299.0,8.0,12/09/2021
24.0,310.0,8.0,10/08/2021
8.0,204.0,0.0,04/02/2022
22.0,462.0,2.0,09/30/2020
6.0,321.0,0.0,04/01/2022
20.0,282.0,8.0,02/25/2021
4.0,93.0,0.0,07/31/2023
18.0,367.0,3.0,02/16/2022
36.0,341.0,6.0,05/12/2021
33.0,213.0,5.0,02/16/2021
17.0,243.0,3.0,07/23/2021
19.0,221.0,2.0,10/23/2021
22.0,249.0,11.0,06/25/2020
5.0,35.0,0.0,04/14/2024
42.0,420.0,1.0,12/03/2022
26.0,555.0,3.0,08/18/2021
28.0,219.0,21.0,06/17/2020
5.0,40.0,0.0,04/16/2024
45.0,819.0,2.0,11/29/2022
13.0,92.0,0.0,05/25/2023
31.0,384.0,8.0,02/17/2021
146.0,292.0,26.0,04/05/2020
18.0,177.0,7.0,02/27/2021
134.0,464.0,45.0,05/03/2020
34.0,907.0,2.0,10/15/2020
28.0,605.0,5.0,11/08/2021
44.0,722.0,2.0,04/01/2021
22.0,202.0,0.0,04/03/2023
31.0,500.0,3.0,10/27/2022
4.0,42.0,0.0,04/12/2024
19.0,276.0,2.0,11/20/2023
20.0,126.0,0.0,02/27/2024
30.0,514.0,0.0,11/23/2022
10.0,153.0,3.0,03/02/2022
43.0,444.0,2.0,12/26/2022
11.0,65.0,0.0,03/18/2024
56.0,781.0,17.0,01/09/2021
8.0,109.0,2.0,03/18/2023
53.0,465.0,6.0,05/04/2021
11.0,63.0,0.0,03/27/2024
32.0,168.0,1.0,01/16/2024
12.0,57.0,0.0,03/19/2024
227.0,10423.0,15.0,12/28/2021
42.0,363.0,1.0,11/29/2023
42.0,736.0,3.0,03/30/2021
72.0,1156.0,12.0,12/07/2021
41.0,745.0,0.0,06/16/2022
61.0,818.0,10.0,01/21/2021
33.0,217.0,4.0,05/24/2021
218.0,4817.0,31.0,01/10/2022
43.0,464.0,3.0,11/20/2021
12.0,54.0,1.0,03/22/2024
76.0,1463.0,7.0,11/29/2021
33.0,275.0,2.0,01/10/2024
28.0,525.0,4.0,11/11/2021
43.0,928.0,1.0,08/03/2022
35.0,373.0,1.0,12/19/2023
174.0,3923.0,17.0,12/24/2021
43.0,781.0,3.0,11/22/2021
26.0,350.0,3.0,09/22/2020
37.0,353.0,1.0,11/27/2023
33.0,325.0,2.0,12/12/2023
41.0,554.0,7.0,09/13/2021
180.0,6919.0,9.0,12/21/2021
53.0,564.0,5.0,04/20/2021
6.0,43.0,0.0,03/16/2024
33.0,1611.0,0.0,05/09/2022
9.0,64.0,0.0,03/20/2024
16.0,70.0,0.0,02/24/2024
12.0,172.0,0.0,02/20/2024
19.0,142.0,1.0,10/10/2023
37.0,734.0,1.0,08/15/2022
22.0,92.0,0.0,02/10/2024
20.0,172.0,1.0,01/22/2024
7.0,69.0,0.0,03/15/2024
9.0,49.0,0.0,04/11/2024
29.0,466.0,2.0,10/17/2022
4.0,86.0,1.0,03/12/2022
4.0,42.0,0.0,05/01/2024
9.0,53.0,0.0,04/23/2024
52.0,435.0,2.0,01/05/2023
44.0,1124.0,2.0,07/18/2022
12.0,108.0,0.0,05/05/2023
11.0,101.0,1.0,05/12/2023
6.0,1.0,0.0,03/05/2020
20.0,125.0,10.0,06/20/2020
248.0,9356.0,13.0,12/29/2021
8.0,50.0,1.0,03/29/2024
10.0,65.0,0.0,03/28/2024
18.0,315.0,1.0,10/15/2021
5.0,160.0,0.0,05/03/2023
9.0,106.0,0.0,05/15/2023
249.0,9477.0,24.0,01/03/2022
21.0,127.0,1.0,02/16/2024
26.0,1053.0,2.0,05/27/2022
20.0,143.0,1.0,02/09/2024
18.0,252.0,1.0,04/11/2023
111.0,1989.0,38.0,01/20/2022
14.0,162.0,2.0,09/26/2023
14.0,113.0,0.0,02/28/2024
22.0,176.0,0.0,02/12/2023
11.0,45.0,0.0,04/26/2024
38.0,332.0,6.0,12/13/2023
56.0,818.0,0.0,12/14/2022
26.0,186.0,3.0,11/25/2023
19.0,173.0,0.0,10/24/2023
24.0,423.0,0.0,02/16/2023
24.0,361.0,4.0,10/13/2021
18.0,164.0,0.0,02/05/2023
29.0,386.0,8.0,02/22/2021
8.0,37.0,1.0,03/31/2024
3.0,22.0,1.0,04/20/2024
25.0,345.0,3.0,10/14/2022
10.0,252.0,0.0,04/17/2022
126.0,5808.0,13.0,12/20/2021
33.0,921.0,2.0,06/30/2022
39.0,922.0,3.0,06/27/2022
17.0,169.0,1.0,02/13/2024
16.0,123.0,0.0,02/29/2024
18.0,198.0,3.0,10/30/2022
233.0,5189.0,23.0,12/31/2021
46.0,506.0,3.0,01/10/2023
19.0,286.0,0.0,09/05/2023
71.0,1355.0,18.0,01/25/2022
9.0,45.0,1.0,04/05/2024
32.0,171.0,0.0,11/19/2023
54.0,564.0,5.0,04/27/2021
20.0,413.0,2.0,01/31/2023
46.0,343.0,2.0,11/28/2023
35.0,1223.0,1.0,05/26/2022
23.0,1063.0,1.0,05/06/2022
36.0,675.0,3.0,03/25/2021
267.0,6818.0,22.0,01/05/2022
21.0,175.0,2.0,02/21/2024
6.0,93.0,1.0,03/06/2024
40.0,212.0,8.0,02/07/2021
32.0,988.0,0.0,07/07/2022
20.0,937.0,0.0,04/25/2022
8.0,64.0,0.0,04/04/2024
303.0,9560.0,32.0,01/04/2022
14.0,102.0,0.0,08/07/2023
5.0,41.0,0.0,04/17/2024
4.0,138.0,0.0,05/03/2024
24.0,205.0,0.0,11/17/2023
34.0,914.0,0.0,06/13/2022
36.0,1375.0,0.0,05/17/2022
25.0,182.0,2.0,02/01/2024
21.0,390.0,0.0,09/15/2022
18.0,142.0,2.0,02/22/2024
7.0,99.0,0.0,05/22/2023
7.0,28.0,1.0,03/23/2024
29.0,274.0,2.0,08/08/2021
23.0,231.0,0.0,12/23/2023
5.0,47.0,0.0,04/22/2024
189.0,3316.0,29.0,01/08/2022
221.0,4428.0,28.0,01/11/2022
3.0,36.0,1.0,05/04/2024
24.0,1655.0,2.0,05/11/2022
21.0,176.0,2.0,02/26/2023
60.0,1226.0,23.0,01/26/2022
26.0,299.0,1.0,03/27/2023
6.0,24.0,0.0,04/19/2024
40.0,384.0,1.0,12/17/2022
38.0,245.0,2.0,01/09/2024
6.0,20.0,1.0,04/21/2024
41.0,706.0,3.0,08/24/2022
4.0,20.0,0.0,05/05/2024
22.0,365.0,17.0,02/02/2022
40.0,1018.0,0.0,06/28/2022
29.0,1465.0,0.0,05/16/2022
10.0,51.0,0.0,04/08/2024
32.0,195.0,0.0,11/24/2023
2.0,25.0,0.0,04/07/2024
33.0,1103.0,2.0,05/20/2022
7.0,65.0,1.0,05/06/2023
9.0,35.0,0.0,04/09/2024
16.0,113.0,0.0,01/27/2024
10.0,38.0,0.0,05/02/2024
1.0,2.0,0.0,05/17/2024
6.0,38.0,0.0,05/10/2024
,17.0,0.0,05/16/2024
23.0,1711.0,0.0,05/10/2022
31.0,203.0,4.0,01/06/2024
20.0,152.0,1.0,01/15/2023
14.0,275.0,2.0,03/21/2022
25.0,197.0,1.0,01/18/2024
8.0,54.0,1.0,04/15/2024
20.0,137.0,1.0,04/26/2023
10.0,52.0,0.0,03/10/2024
3.0,36.0,0.0,05/08/2024
28.0,432.0,2.0,08/12/2020
3.0,29.0,1.0,04/27/2024
37.0,799.0,1.0,08/10/2022
12.0,69.0,5.0,10/07/2023
2.0,74.0,0.0,06/21/2023
811.0,1639.0,0.0,
7.0,50.0,0.0,04/10/2024
50.0,531.0,7.0,04/23/2021
6.0,47.0,0.0,05/14/2024
8.0,43.0,1.0,03/24/2024
10.0,55.0,0.0,05/13/2024
27.0,732.0,1.0,07/01/2022
27.0,530.0,1.0,06/11/2022
10.0,90.0,2.0,02/17/2024
182.0,4041.0,34.0,01/12/2022
244.0,9237.0,17.0,12/27/2021
20.0,96.0,0.0,01/28/2024
2.0,32.0,0.0,05/11/2024
7.0,38.0,0.0,04/25/2024
54.0,316.0,7.0,04/18/2021
25.0,727.0,1.0,05/15/2022
