Hospitalizations - Total,Cases - Total,Deaths - Total,Date
147.0,1053.0,45.0,04/22/2020
13.0,130.0,5.0,06/27/2020
28.0,192.0,2.0,12/09/2023
13.0,132.0,1.0,10/30/2023
32.0,171.0,6.0,05/26/2021
40.0,285.0,0.0,11/27/2022
34.0,506.0,4.0,08/09/2021
25.0,128.0,3.0,05/25/2021
18.0,120.0,3.0,08/16/2020
36.0,423.0,3.0,03/18/2021
12.0,143.0,0.0,10/17/2023
37.0,577.0,12.0,02/07/2022
28.0,438.0,1.0,01/20/2023
2.0,3.0,0.0,03/06/2020
29.0,592.0,2.0,11/10/2021
32.0,682.0,6.0,03/24/2021
51.0,1171.0,2.0,11/30/2021
12.0,148.0,2.0,09/22/2023
22.0,386.0,4.0,08/11/2020
7.0,204.0,4.0,10/24/2021
36.0,337.0,4.0,02/24/2021
28.0,1343.0,2.0,05/18/2022
32.0,496.0,3.0,08/04/2021
13.0,145.0,0.0,10/11/2023
43.0,278.0,7.0,05/19/2021
6.0,133.0,1.0,10/04/2023
61.0,1285.0,10.0,12/08/2021
14.0,132.0,4.0,07/18/2020
17.0,211.0,0.0,09/11/2022
21.0,194.0,1.0,09/18/2022
4.0,53.0,0.0,07/17/2023
14.0,152.0,1.0,04/28/2023
3.0,44.0,1.0,07/23/2023
48.0,619.0,21.0,12/24/2020
17.0,72.0,1.0,09/07/2020
34.0,363.0,3.0,10/25/2021
25.0,381.0,6.0,09/29/2020
21.0,95.0,3.0,08/02/2020
39.0,1038.0,3.0,07/25/2022
40.0,142.0,0.0,12/25/2023
3.0,3.0,0.0,03/07/2020
34.0,617.0,6.0,11/12/2021
11.0,84.0,1.0,09/30/2023
30.0,300.0,4.0,10/11/2020
37.0,823.0,1.0,07/22/2022
7.0,92.0,1.0,03/01/2024
9.0,96.0,1.0,07/28/2023
80.0,1338.0,17.0,12/22/2020
68.0,168.0,2.0,03/22/2020
47.0,531.0,7.0,04/29/2021
48.0,363.0,1.0,01/02/2024
22.0,291.0,6.0,03/05/2021
8.0,60.0,1.0,06/22/2023
55.0,237.0,21.0,05/30/2020
73.0,1208.0,6.0,12/06/2021
8.0,42.0,0.0,03/17/2024
47.0,372.0,1.0,08/21/2021
7.0,139.0,2.0,07/14/2021
29.0,282.0,5.0,07/06/2020
46.0,644.0,2.0,08/11/2022
13.0,198.0,0.0,02/28/2022
118.0,350.0,2.0,03/24/2020
9.0,31.0,0.0,03/14/2020
5.0,243.0,1.0,03/24/2022
16.0,257.0,2.0,03/13/2021
30.0,227.0,3.0,10/03/2020
13.0,208.0,1.0,09/13/2023
9.0,103.0,0.0,07/12/2021
20.0,468.0,0.0,02/01/2023
7.0,133.0,0.0,07/15/2021
8.0,150.0,2.0,03/18/2022
33.0,220.0,0.0,01/11/2024
23.0,328.0,9.0,02/11/2022
115.0,638.0,38.0,04/25/2020
41.0,566.0,5.0,03/23/2021
43.0,592.0,3.0,08/26/2021
25.0,329.0,1.0,03/20/2023
27.0,488.0,10.0,02/09/2022
50.0,346.0,7.0,05/17/2021
30.0,546.0,5.0,08/19/2021
42.0,811.0,1.0,08/04/2022
72.0,579.0,4.0,04/22/2021
19.0,322.0,2.0,10/19/2021
3.0,36.0,0.0,07/01/2023
26.0,324.0,3.0,07/17/2020
32.0,321.0,6.0,09/11/2021
51.0,677.0,4.0,04/13/2021
117.0,2326.0,17.0,11/18/2020
46.0,612.0,4.0,12/27/2022
23.0,353.0,6.0,09/24/2021
9.0,203.0,0.0,05/02/2023
26.0,245.0,9.0,06/24/2020
34.0,154.0,9.0,05/16/2021
18.0,165.0,0.0,10/19/2023
24.0,138.0,0.0,03/05/2023
25.0,241.0,1.0,11/06/2022
49.0,230.0,14.0,05/02/2021
22.0,292.0,2.0,03/03/2023
18.0,236.0,0.0,03/22/2023
59.0,656.0,6.0,04/16/2021
30.0,450.0,1.0,08/13/2022
31.0,357.0,13.0,02/12/2021
55.0,668.0,6.0,11/24/2021
20.0,305.0,4.0,02/17/2022
28.0,536.0,0.0,05/29/2022
62.0,1454.0,13.0,01/06/2021
27.0,290.0,1.0,01/16/2023
63.0,1058.0,8.0,12/02/2021
44.0,517.0,13.0,11/26/2021
27.0,369.0,2.0,09/21/2022
27.0,227.0,6.0,02/12/2022
23.0,428.0,3.0,10/04/2021
42.0,273.0,15.0,06/08/2020
25.0,495.0,1.0,11/04/2021
30.0,238.0,0.0,01/08/2023
18.0,180.0,4.0,03/14/2021
44.0,592.0,16.0,01/29/2021
23.0,239.0,1.0,10/31/2021
23.0,120.0,18.0,06/13/2020
30.0,569.0,9.0,02/08/2022
39.0,162.0,1.0,03/18/2020
50.0,763.0,1.0,12/05/2022
26.0,850.0,3.0,10/14/2020
100.0,520.0,53.0,05/09/2020
83.0,2053.0,35.0,12/08/2020
10.0,133.0,0.0,08/10/2023
133.0,2011.0,32.0,01/17/2022
17.0,110.0,0.0,09/10/2023
8.0,42.0,0.0,06/23/2023
19.0,186.0,1.0,04/06/2023
25.0,203.0,0.0,01/21/2023
5.0,38.0,0.0,06/10/2023
33.0,364.0,4.0,07/22/2020
168.0,1157.0,35.0,04/27/2020
26.0,288.0,8.0,03/04/2021
25.0,1269.0,1.0,05/02/2022
5.0,173.0,1.0,03/27/2022
34.0,343.0,5.0,09/04/2021
17.0,203.0,1.0,07/19/2021
38.0,171.0,17.0,01/31/2021
37.0,147.0,3.0,01/01/2023
29.0,268.0,5.0,07/31/2021
20.0,190.0,5.0,09/25/2022
13.0,224.0,1.0,07/22/2021
38.0,683.0,1.0,11/19/2021
116.0,2167.0,17.0,11/19/2020
78.0,955.0,19.0,12/26/2020
128.0,2489.0,9.0,11/11/2020
52.0,275.0,11.0,04/25/2021
32.0,468.0,2.0,01/17/2023
