School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),Location 1
I.S. @ 4012 FORT HAMILTON PARKWAY - BROOKLYN,K,15,New,66677000.0,CAP,K004,4012 FORT HAMILTON PARKWAY,Brooklyn,11218,BROOKLYN,40.642578,-73.991388,312,38,,,110,BK1201,"(40.642578, -73.991388)"
P.S. 239 - QUEENS,Q,24,"HVAC COOLING SYSTEM REPLACEMENT
 / CLIMATE CONTROL / FIRE ALARM SYSTEM REPLACEMENT",7760000.0,CIP,Q239,17-15 WEIRFIELD STREET,Queens,11691,QUEENS,40.60729,-73.7494,414,31,4297972.0,4155410001.0,103202,QN1401,"(40.60729, -73.7494)"
SCHOOL OF THE FUTURE - MANHATTAN,M,2,FY24 RESO A LOCKER ROOM UPGRADE / PATH OF TRAVEL RESO A LOCKER ROOM UPGRADE,439154.0,CIP,M660,127 EAST 22 STREET,Manhattan,10004,MANHATTAN,40.692055,-74.01358,101,1,1086435.0,1000010010.0,5,MN0191,"(40.692055, -74.01358)"
I.S. 119 - QUEENS,Q,24,ROOFS / FLOOD ELIMINATION / PARAPETS / WINDOWS / EXTERIOR MASONRY / FIRE ALARM / LL26 EXIT SIGNS / EXTERIOR DOORS,19270344.0,CIP,Q119,74-01 78 AVENUE,Queens,11436,QUEENS,40.678296,-73.79562,412,28,4260828.0,4120190010.0,18402,QN1203,"(40.678296, -73.79562)"
P.S. 29 - BROOKLYN,K,15,LSP WATER BOOSTER PUMP SET REPLACEMENT,120000.0,CIP,K029,425 HENRY STREET,Brooklyn,11206,BROOKLYN,40.697152,-73.946641,303,36,3048517.0,3017430018.0,257,BK0301,"(40.697152, -73.946641)"
P.S. 165 - MANHATTAN,M,3,RPZ BACKFLOW PREVENTION DEVICES,588846.0,CIP,M165,234 WEST 109 STREET,Manhattan,10034,MANHATTAN,40.866706,-73.923948,112,10,1064900.0,1022340007.0,291,MN1203,"(40.866706, -73.923948)"
FORT HAMILTON HS - K,K,20,REPLACE 6' FIRE DOMESTIC WATER MAIN VALVES,594450.0,CIP,K490,8301 SHORE ROAD,Brooklyn,11204,BROOKLYN,40.620446,-73.981795,312,44,3131537.0,3055060006.0,468,BK1204,"(40.620446, -73.981795)"
P.S. 37 - MANHATTAN,M,4,SIDEWALK REPAIR / ROOFS / EXTERIOR MASONRY / PARAPETS / FLOOD ELIMINATION,17300000.0,CIP,M045,2351 1 AVENUE,Manhattan,10033,MANHATTAN,40.853466,-73.934048,112,10,1076752.0,1021670029.0,271,MN1202,"(40.853466, -73.934048)"
P.S. 70 - BRONX,X,9,IPDVS INSTALLATIONS,331321.7,CIP,X070,1691 WEEKS AVENUE,Bronx,10461,BRONX,40.845787,-73.829829,210,13,2046140.0,2041710001.0,26602,BX1003,"(40.845787, -73.829829)"
P.S. 155 - BROOKLYN,K,23,LSP AUDITORIUM UPGRADE,200000.0,CIP,K155,1355 HERKIMER STREET,Brooklyn,11207,BROOKLYN,40.672579,-73.884803,305,42,3089176.0,3040150001.0,1150,BK0502,"(40.672579, -73.884803)"
