Police Precinct/Geographic Location,Location Type,Shootings,Overall DV,Population,Rate Population,Shooting Rate,Overall DV Rate,Actual  Shootings White,Expected Shootings White,Actual Shootings Black,Expected Shootings Black,Actual Shootings Asian PI,Expected Shootings Asian PI,Actual Shootings  American Indian AN,Expected Shootings American Indian AN,Actual Shootings Other,Expected Shootings Other,Actual  DIRs White,Expected DIRs White,Actual DIRs Black,Expected DIRs Black,Actual DIRs Asian PI,Expected DIRS Asian PI,Actual DIRs  American Indian AN,Expected DIRs American Indian AN,Actual DIRs Other,Expected DIRs Other,NYC Population White,NYC Population Black,NYC Population Asian PI,NYC Population American Indian AN,NYC Population Other,Actual Shootings Male,Expected Shootings Male,Actual Shootings Female,Expected Shootings Female,Actual DIR Male,Expected DIRs Male,Actual DIRs Female,Expected DIRs Female,NYC Population Male,NYC Population Female
72,Police Precinct,32,5501,130689,392067,0.82,140.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Police Precinct,286,21419,91255,273765,10.45,782.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Police Precinct,326,28475,190874,572622,5.69,497.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Police Precinct,39,3432,45494,136482,2.86,251.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Police Precinct,156,10219,94819,284457,5.48,359.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Police Precinct,17,2966,71129,213387,0.8,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Police Precinct,170,10519,97936,293808,5.79,358.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Police Precinct,124,8755,66666,199998,6.2,437.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Police Precinct,75,10421,123602,370806,2.02,281.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Police Precinct,30,3032,59800,179400,1.67,169.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Police Precinct,41,4869,59204,177612,2.31,274.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Police Precinct,55,7118,128995,386985,1.42,183.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Police Precinct,24,3373,70597,211791,1.13,159.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Police Precinct,41,4555,50969,152907,2.68,297.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Police Precinct,105,10421,69078,207234,5.07,502.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Police Precinct,46,10729,149373,448119,1.03,239.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Police Precinct,120,13135,109925,329775,3.64,398.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Police Precinct,24,9729,175571,526713,0.46,184.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Police Precinct,100,13006,191219,573657,1.74,226.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Police Precinct,46,10918,124271,372813,1.23,292.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Police Precinct,26,8403,152845,458535,0.57,183.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Police Precinct,23,6404,130735,392205,0.59,163.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Police Precinct,24,9206,258472,775416,0.31,118.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Police Precinct,41,9527,177077,531231,0.77,179.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Police Precinct,6,3092,119157,357471,0.17,86.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Police Precinct,4,3721,114395,343185,0.12,108.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Police Precinct,128,13439,122328,366984,3.49,366.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Police Precinct,82,14154,213768,641304,1.28,220.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Police Precinct,49,9518,177274,531822,0.92,178.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Police Precinct,82,14159,118853,356559,2.3,397.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Police Precinct,36,9619,122440,367320,0.98,261.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Police Precinct,7,8201,140202,420606,0.17,194.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Police Precinct,5,4004,101176,303528,0.16,131.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Borough,1740,209757,1432812,4298436,4.05,487.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,Borough,2018,205507,2623314,7869942,2.56,261.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manhattan,Borough,922,105173,1626549,4879647,1.89,215.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queens,Borough,865,149957,2336457,7009371,1.23,213.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Borough,130,35983,482671,1448013,0.9,248.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York City,New York City,5674,,,,,,117,1876,3950,1259,115,831,1,10,1491,1698,187099,190805,292246,128026,30629,84472,2761,993,64260,172699,2677579,1796602,1185400,13934,2423499,5063,2710,612,2965,165769,280295,421209,306683,3866509,4230505
