AREA,DISTRICT,SAFETY
area_5,Other,66.92
area_5,Other,63.34
area_3,Other,64.64
area_4,Other,48.96
,,51.22
area_1,Other,50.09
area_3,Other,58.38
area_3,Other,67.96
area_4,Other,44.72
area_3,Other,68.09
area_5,Other,59.35
area_5,25.0,56.22
area_3,,57.68
area_5,Other,63.81
area_3,Other,62.24
area_4,Other,54.9
area_2,,47.61
area_3,Other,67.76
area_2,Other,53.34
area_1,Other,58.75
area_4,Other,45.42
area_3,Other,66.55
area_5,Other,72.59
area_2,Other,51.32
area_3,Other,69.88
area_3,Other,54.01
area_2,Other,54.14
area_4,Other,55.87
area_1,Other,58.69
area_3,Other,66.74
area_3,Other,67.38
area_4,Other,59.91
area_1,Other,56.69
area_2,Other,57.92
area_5,25.0,54.25
area_2,Other,63.25
,,58.56
,,58.56
area_4,Other,56.26
area_3,Other,65.59
area_1,Other,47.07
area_2,Other,44.83
area_3,Other,69.56
area_2,Other,58.41
area_3,Other,73.46
Other,,65.43
area_3,Other,64.2
area_3,Other,67.68
area_3,Other,43.79
area_3,Other,62.88
area_1,Other,55.05
area_1,Other,53.75
area_3,Other,61.26
area_3,Other,68.51
area_4,Other,58.04
Other,,53.19
area_4,Other,54.04
area_3,Other,64.97
area_2,Other,57.94
area_3,Other,59.64
area_5,,62.58
area_5,25.0,69.45
area_3,Other,61.15
area_4,Other,65.96
area_3,Other,63.43
area_3,Other,70.53
area_2,Other,55.51
Other,,62.05
area_5,Other,64.59
area_5,25.0,60.91
area_3,Other,63.68
area_2,Other,53.5
area_4,Other,67.05
area_1,Other,51.61
area_5,25.0,56.36
area_3,Other,71.33
area_5,Other,53.27
area_3,Other,57.25
area_4,Other,49.49
Other,,60.95
area_3,Other,67.16
area_3,Other,68.62
area_2,Other,49.06
area_5,25.0,64.83
area_5,Other,71.27
area_5,Other,61.28
area_4,Other,49.04
area_5,25.0,68.32
area_3,Other,66.71
area_3,Other,70.7
area_1,Other,60.23
area_1,Other,48.0
area_2,Other,49.52
area_5,Other,61.92
area_3,Other,65.42
area_1,Other,55.16
area_1,Other,57.91
area_1,Other,56.05
area_2,Other,70.19
area_4,Other,41.85
area_1,Other,54.81
area_3,Other,50.58
area_5,Other,63.26
area_1,Other,53.3
area_3,Other,63.59
area_2,Other,46.1
area_3,Other,60.86
area_3,Other,64.98
area_1,Other,60.91
area_3,Other,61.54
area_5,25.0,65.85
area_5,Other,63.54
area_1,Other,55.26
area_3,Other,65.11
area_5,Other,65.68
area_3,Other,59.42
area_4,Other,58.3
area_2,Other,53.88
area_2,Other,60.56
area_3,Other,66.32
area_1,Other,54.44
area_3,Other,73.91
area_3,Other,68.95
area_5,25.0,62.91
area_5,25.0,51.06
area_4,Other,38.5
area_5,Other,67.63
area_1,Other,63.71
area_4,,56.63
area_1,Other,63.07
area_5,25.0,63.19
area_2,Other,53.91
area_2,Other,60.67
area_1,Other,57.61
area_5,Other,67.89
area_2,Other,38.16
area_3,Other,55.25
area_3,Other,63.02
area_3,Other,69.54
area_1,Other,52.12
area_5,Other,62.99
area_5,Other,66.57
area_1,Other,52.98
area_5,Other,65.83
area_2,Other,56.0
area_1,Other,62.65
Other,,64.87
area_3,Other,67.0
area_2,Other,59.06
area_2,Other,55.9
area_4,Other,64.07
area_4,Other,51.65
area_3,Other,72.39
area_3,Other,58.91
area_5,25.0,57.35
area_2,Other,49.81
area_3,Other,57.01
area_4,Other,52.62
area_5,Other,64.2
area_1,Other,59.64
area_3,Other,68.56
,,53.53
area_4,Other,58.8
area_3,Other,74.32
area_3,Other,67.41
area_1,Other,56.9
area_5,Other,63.16
area_3,Other,68.7
area_2,Other,51.8
area_5,Other,70.01
area_4,Other,57.5
area_1,Other,60.29
area_1,Other,53.31
area_3,Other,70.04
area_2,Other,54.9
area_3,Other,61.86
area_3,Other,54.02
area_3,Other,60.19
area_4,Other,49.5
area_5,Other,71.59
area_5,Other,58.19
area_5,Other,62.85
area_5,Other,59.47
area_3,,60.33
Other,,63.39
area_3,Other,61.21
area_3,Other,62.22
area_5,25.0,59.95
area_3,Other,58.47
area_5,Other,62.06
,,57.27
area_1,Other,54.37
area_4,Other,50.72
area_3,Other,67.74
area_1,Other,57.35
area_3,Other,54.35
area_3,Other,63.04
area_5,Other,61.1
area_1,Other,61.23
area_3,Other,58.65
area_2,Other,50.29
area_5,Other,61.96
area_4,Other,51.47
area_3,Other,62.49
area_2,Other,50.92
Other,,59.58
area_2,Other,64.09
area_3,Other,50.81
area_2,Other,61.22
area_1,Other,55.7
area_1,Other,42.62
area_4,Other,59.41
area_1,Other,62.44
area_3,Other,67.48
area_3,Other,61.96
Other,,57.85
area_2,Other,61.44
area_1,Other,59.68
area_5,Other,69.35
area_2,Other,61.76
area_5,25.0,57.95
area_1,Other,65.52
,,56.09
Other,,65.17
area_3,Other,57.6
area_2,Other,62.52
area_1,Other,56.34
area_3,Other,60.61
area_3,Other,65.51
area_3,Other,53.21
area_1,Other,63.06
area_5,,61.95
area_4,Other,45.51
,,56.12
area_2,Other,40.25
area_2,Other,49.55
area_2,Other,49.25
area_1,Other,55.88
area_5,,63.71
area_4,Other,54.33
area_5,25.0,53.93
area_5,25.0,68.06
,,59.82
area_4,Other,63.04
area_5,Other,60.69
area_4,Other,57.56
area_5,25.0,57.24
area_2,,59.09
area_1,Other,61.48
area_1,Other,46.3
area_2,Other,51.56
area_1,Other,47.11
area_4,Other,58.9
area_5,Other,60.64
area_5,Other,65.93
area_5,Other,63.58
area_1,Other,62.09
area_1,Other,64.62
area_2,,59.96
area_3,Other,62.31
area_3,Other,69.13
area_3,Other,54.34
area_5,Other,58.64
area_2,Other,52.19
area_1,Other,57.1
Other,,58.59
area_4,,51.74
area_1,Other,52.49
area_5,Other,62.99
area_1,Other,46.07
area_3,Other,63.68
area_2,Other,62.07
area_2,Other,54.42
area_1,,51.07
area_4,Other,41.8
area_1,Other,44.42
area_5,Other,57.63
area_1,Other,62.24
area_3,Other,63.37
area_3,Other,49.01
area_4,Other,47.57
area_5,Other,68.28
area_4,Other,56.96
area_2,Other,60.5
area_3,Other,72.09
area_1,Other,56.31
area_1,Other,57.01
area_5,Other,60.29
area_5,25.0,67.5
area_5,Other,64.18
area_4,Other,58.5
area_4,Other,52.4
area_2,Other,46.41
area_1,Other,47.95
area_1,,54.43
area_5,Other,65.46
area_1,Other,59.61
area_5,Other,63.99
area_4,Other,48.39
area_5,25.0,54.31
area_1,Other,55.5
area_4,Other,51.85
area_1,Other,49.1
area_1,Other,46.94
area_3,Other,63.04
area_1,Other,49.96
area_5,Other,65.61
area_3,Other,68.54
area_1,Other,61.35
area_5,Other,71.62
area_3,Other,71.92
area_3,Other,71.06
area_5,Other,67.56
area_4,Other,58.21
area_3,Other,68.09
area_2,Other,52.95
area_3,Other,60.74
area_5,Other,66.8
area_1,Other,50.79
area_1,Other,57.22
area_3,Other,57.38
Other,,60.49
area_1,Other,48.72
area_1,Other,50.88
area_2,Other,69.7
area_3,Other,61.86
area_3,Other,60.73
area_5,Other,55.51
area_3,Other,68.44
area_1,Other,39.1
area_3,Other,55.35
area_2,,56.33
area_5,Other,61.67
area_5,Other,61.38
area_4,Other,63.28
area_3,Other,48.69
area_3,Other,56.13
area_4,Other,51.13
area_5,25.0,60.94
area_4,Other,42.29
area_4,Other,52.5
area_3,Other,62.54
area_3,Other,71.88
area_2,Other,46.44
area_3,Other,58.52
area_3,Other,74.42
area_5,25.0,58.89
area_1,Other,62.05
area_1,Other,56.35
area_1,Other,61.01
area_3,Other,59.74
area_3,Other,69.06
,,53.79
area_3,Other,58.42
area_2,Other,55.08
Other,,53.9
area_5,Other,60.5
area_3,Other,62.59
area_1,Other,61.47
area_1,Other,56.08
area_5,Other,58.79
area_3,Other,61.84
Other,,64.93
area_2,,57.77
,,57.45
area_3,Other,60.74
area_4,Other,45.28
area_1,Other,51.82
area_3,Other,63.33
area_4,Other,55.73
area_1,Other,57.63
area_3,Other,69.71
area_3,Other,69.86
area_2,Other,46.22
area_5,25.0,54.52
area_5,Other,71.51
area_3,Other,58.56
area_3,Other,59.0
area_5,Other,62.15
area_2,Other,50.46
area_1,Other,52.86
area_5,Other,60.25
area_5,Other,61.91
area_5,Other,66.96
area_1,Other,53.9
area_2,Other,67.27
area_2,Other,50.84
area_3,Other,60.46
area_4,Other,44.26
area_3,Other,59.2
area_3,Other,47.95
area_1,Other,58.07
area_1,Other,41.76
area_5,Other,70.81
area_5,Other,67.01
area_2,Other,47.77
area_2,Other,57.2
area_5,Other,64.99
area_3,Other,63.92
area_3,Other,61.2
area_1,Other,58.93
area_5,Other,63.42
area_1,Other,65.01
area_3,Other,62.09
area_1,Other,64.34
area_5,25.0,51.02
area_3,Other,61.84
area_1,Other,55.6
area_3,Other,67.17
area_4,Other,38.96
area_3,Other,64.86
area_3,Other,66.0
area_1,Other,63.35
area_1,Other,68.91
,,59.23
,,62.21
area_3,Other,59.57
area_3,Other,54.45
Other,,66.3
area_5,Other,72.25
area_4,Other,44.74
area_2,Other,71.12
area_5,Other,61.05
area_5,25.0,66.39
area_4,Other,62.42
area_2,Other,52.95
area_3,Other,73.83
area_3,Other,62.51
area_2,Other,57.37
area_2,Other,54.06
area_5,,66.53
area_5,25.0,59.18
area_5,Other,64.3
area_5,Other,70.25
area_3,Other,65.63
area_1,Other,39.07
area_5,Other,66.24
area_2,Other,49.65
Other,,58.43
area_1,Other,67.64
area_4,,47.99
area_5,25.0,57.82
area_3,Other,63.22
area_4,Other,52.89
area_1,Other,60.38
area_2,Other,56.13
area_3,Other,58.22
area_5,25.0,54.46
area_5,Other,61.84
area_3,Other,66.08
area_5,25.0,61.49
area_5,Other,62.43
area_1,Other,54.89
area_2,Other,47.93
area_5,25.0,59.0
area_4,Other,44.74
area_3,Other,50.27
area_5,Other,65.01
area_1,Other,45.95
area_3,Other,62.07
area_4,,41.89
area_1,Other,57.09
area_2,Other,56.58
area_4,Other,53.38
area_3,Other,67.45
area_4,Other,57.28
area_2,,52.67
area_2,Other,58.96
area_4,Other,50.01
area_3,Other,57.83
area_2,Other,54.68
area_5,25.0,57.28
area_1,Other,64.29
area_3,Other,54.78
area_1,Other,52.8
area_4,Other,52.23
area_4,,55.18
area_1,Other,60.12
area_3,Other,51.48
area_3,Other,61.59
area_1,Other,62.6
area_4,Other,59.28
area_1,,56.97
area_3,Other,69.34
area_3,Other,60.76
area_2,Other,47.2
area_4,Other,50.14
area_4,Other,48.65
area_2,Other,54.17
area_1,Other,68.09
area_1,Other,48.7
area_2,,53.16
area_1,Other,54.9
area_2,Other,48.52
area_2,,53.73
area_2,Other,60.4
area_5,Other,62.95
area_1,Other,45.45
area_2,Other,43.23
area_5,,64.1
area_1,Other,49.89
area_1,Other,66.92
area_3,Other,69.67
area_3,Other,65.33
area_2,Other,63.93
area_4,Other,51.44
area_3,Other,70.41
area_2,Other,53.73
area_3,Other,57.92
area_2,Other,49.07
area_3,Other,62.85
area_3,Other,59.17
area_4,,50.9
area_3,Other,48.23
area_2,Other,58.15
area_2,Other,56.1
area_5,Other,70.98
area_2,Other,54.66
,,62.26
,,62.26
area_5,Other,63.36
area_4,Other,52.08
area_3,Other,70.65
area_5,25.0,67.3
area_5,Other,56.69
area_2,,50.43
area_1,Other,56.85
area_1,Other,46.37
area_1,Other,52.28
Other,,68.14
area_2,Other,59.22
area_1,Other,55.38
area_1,Other,38.16
area_1,Other,51.3
area_5,25.0,61.64
Other,,66.37
area_3,Other,67.13
area_3,Other,60.75
area_5,Other,61.46
area_3,Other,59.05
area_3,Other,61.45
area_5,Other,61.75
area_1,,59.41
area_4,Other,53.63
area_2,Other,51.63
area_4,Other,43.29
area_5,Other,71.84
area_5,25.0,59.25
area_3,Other,70.66
area_2,Other,43.46
area_1,Other,48.49
area_1,Other,47.84
area_1,Other,49.75
area_3,Other,62.25
area_4,Other,55.06
area_1,Other,50.41
area_1,Other,45.43
area_5,Other,64.72
area_3,Other,68.63
area_2,Other,50.41
area_2,Other,55.71
area_5,Other,65.38
area_2,Other,60.98
area_5,25.0,52.24
area_1,Other,57.24
area_1,Other,52.13
area_4,,50.29
area_4,Other,43.6
area_3,Other,58.17
area_5,Other,66.47
area_1,Other,49.9
area_5,,65.23
area_2,Other,52.59
area_4,Other,45.19
area_2,Other,49.27
area_4,Other,54.74
area_1,Other,57.99
area_3,Other,71.02
area_3,Other,55.9
area_5,25.0,58.23
area_3,Other,48.99
area_4,Other,49.73
area_4,Other,59.19
area_5,Other,78.32
area_3,Other,67.52
area_4,Other,47.68
area_5,Other,66.72
area_1,Other,54.96
area_1,Other,56.85
area_1,Other,54.24
area_1,,53.35
area_1,Other,49.85
area_3,Other,63.0
area_2,Other,61.08
area_2,Other,55.38
Other,,58.84
area_4,Other,53.05
area_1,Other,56.41
area_5,,64.93
area_3,Other,63.92
area_4,Other,50.33
,,64.4
area_5,25.0,54.89
area_4,Other,44.31
area_1,Other,53.62
area_1,Other,49.77
area_1,Other,49.67
area_3,Other,58.26
area_3,Other,69.47
area_5,25.0,50.77
area_1,Other,53.25
area_2,Other,60.95
area_2,Other,50.4
Other,,67.18
area_4,Other,57.21
area_1,Other,50.66
area_3,Other,53.0
area_3,Other,69.65
area_5,Other,63.76
area_5,25.0,58.75
area_5,Other,53.31
area_1,Other,54.01
area_3,Other,65.51
area_4,Other,61.33
area_5,25.0,54.3
area_5,Other,70.1
area_1,Other,41.6
area_3,Other,57.44
area_5,Other,62.88
area_1,,47.36
area_1,Other,45.5
area_4,Other,56.15
area_5,Other,65.56
area_5,Other,69.05
,,61.07
,,61.07
area_4,Other,46.28
area_4,Other,46.01
area_1,Other,56.48
area_3,Other,55.13
area_1,Other,56.75
area_1,Other,59.05
area_2,Other,58.67
area_2,Other,60.61
area_5,Other,67.95
area_5,25.0,58.17
area_4,Other,42.04
area_2,Other,65.24
area_2,Other,50.08
area_3,Other,67.16
area_1,Other,52.28
area_3,Other,66.71
area_3,Other,63.37
area_5,Other,61.11
area_5,Other,65.58
area_3,Other,46.98
area_1,Other,39.51
area_4,Other,58.07
area_2,,52.63
area_2,Other,53.82
area_3,Other,66.58
area_2,Other,49.12
area_1,Other,40.37
area_3,Other,62.31
area_3,Other,63.26
area_4,Other,59.26
area_5,25.0,65.86
area_1,Other,60.4
area_4,Other,50.13
area_5,25.0,49.62
area_4,Other,50.25
area_1,Other,58.54
area_3,Other,71.74
area_1,Other,54.58
area_3,Other,51.32
area_3,Other,71.64
area_4,Other,42.62
area_3,Other,61.93
area_4,Other,45.78
area_3,Other,52.91
area_1,Other,51.87
area_3,Other,59.61
area_4,Other,46.39
Other,,59.18
area_3,,68.02
area_5,Other,61.61
area_2,Other,52.63
area_5,Other,65.31
area_1,Other,63.27
area_3,Other,60.19
area_5,25.0,61.4
area_2,Other,47.57
area_3,,66.65
area_1,Other,52.9
area_4,Other,46.38
Other,,53.91
area_1,Other,59.02
area_1,Other,58.4
area_2,Other,53.21
area_2,Other,53.39
area_5,25.0,51.8
area_1,Other,56.83
area_2,Other,33.01
area_5,25.0,57.44
area_5,Other,67.12
area_4,Other,50.87
area_5,25.0,57.58
area_1,Other,60.35
area_2,Other,57.91
area_5,Other,64.26
area_3,Other,67.14
area_4,Other,45.67
area_2,Other,56.1
area_5,25.0,61.21
area_5,Other,63.39
area_1,,58.2
area_1,Other,40.96
area_2,Other,41.92
area_4,Other,35.46
area_5,Other,65.16
area_4,Other,62.38
area_2,Other,57.17
area_1,Other,48.79
area_3,Other,58.36
area_1,Other,59.34
area_3,Other,62.55
area_1,Other,58.21
area_1,Other,61.13
area_1,Other,53.97
Other,,56.99
area_3,Other,67.76
area_2,Other,56.21
area_2,Other,54.66
area_4,Other,53.56
area_4,Other,46.26
area_5,25.0,60.82
area_3,Other,72.63
area_4,Other,52.84
,,64.13
,,64.13
area_3,Other,71.2
area_2,Other,61.13
area_1,Other,46.02
area_5,Other,63.11
area_5,Other,68.29
Other,,64.02
area_3,Other,56.01
area_2,Other,57.51
area_3,Other,50.46
area_3,Other,66.02
area_3,Other,61.85
area_3,,60.22
area_3,Other,66.43
area_2,Other,54.13
area_4,Other,62.15
area_5,Other,60.2
,,61.66
,,61.66
area_4,Other,52.24
area_3,Other,47.93
area_1,Other,55.34
area_2,Other,59.16
area_4,Other,53.79
area_4,Other,58.32
area_2,Other,53.62
area_1,Other,44.8
area_3,Other,56.34
area_3,Other,69.96
area_5,25.0,61.04
area_1,Other,58.01
area_5,25.0,57.18
area_3,Other,62.72
area_5,Other,67.83
area_2,Other,52.77
area_3,Other,72.45
area_3,Other,71.41
area_5,25.0,48.46
area_1,Other,48.15
area_5,Other,70.08
Other,,61.13
area_3,Other,53.34
area_4,Other,45.97
area_4,Other,49.01
area_4,Other,51.94
area_4,,51.14
area_4,Other,58.85
area_1,Other,56.04
area_3,Other,63.6
area_5,Other,67.58
area_1,Other,64.41
area_5,,61.89
area_4,Other,56.9
,,56.64
Other,,61.08
area_4,Other,47.61
area_3,Other,59.34
area_3,Other,64.46
area_2,Other,57.73
area_3,Other,65.29
area_3,Other,62.65
area_5,25.0,55.65
,,59.63
area_1,Other,61.62
area_3,Other,52.97
area_5,Other,55.73
area_2,Other,53.55
area_4,Other,51.84
area_1,Other,60.26
area_3,Other,63.86
area_2,Other,45.59
area_1,Other,59.5
area_3,Other,66.75
area_1,Other,52.67
area_5,Other,54.72
area_2,Other,51.26
area_2,Other,45.34
area_5,Other,67.9
area_3,Other,52.8
area_1,Other,54.11
area_2,Other,48.14
area_5,Other,68.83
area_2,Other,48.84
area_1,Other,49.09
area_1,Other,52.92
area_2,Other,49.72
area_3,Other,57.46
area_1,Other,56.87
area_4,Other,61.66
area_3,Other,68.38
area_3,Other,56.76
area_1,Other,50.4
area_2,Other,50.1
area_3,Other,60.54
area_3,,62.78
area_3,Other,52.44
area_1,Other,47.0
area_1,Other,52.24
area_1,Other,50.24
area_3,Other,67.54
area_4,Other,61.76
area_5,25.0,53.85
,,60.18
,,60.18
area_3,Other,62.12
area_1,Other,58.29
area_2,Other,43.92
area_3,Other,62.0
area_2,Other,57.02
Other,,64.58
area_5,25.0,60.09
area_3,Other,72.35
area_5,Other,67.54
area_2,Other,47.37
area_2,Other,54.77
area_1,Other,60.13
area_3,Other,53.7
area_3,Other,65.26
area_4,Other,41.79
area_3,Other,71.32
area_1,Other,49.72
area_4,Other,41.77
area_1,Other,56.29
area_1,Other,47.43
area_1,Other,61.31
area_3,Other,61.22
area_3,Other,66.95
area_4,Other,63.27
area_4,,53.43
area_5,Other,57.84
area_5,25.0,60.34
area_3,Other,66.53
area_1,Other,59.88
area_5,Other,69.81
area_5,25.0,48.97
area_5,Other,64.75
area_1,Other,62.09
area_3,Other,65.79
area_5,25.0,55.66
area_4,Other,42.19
area_4,,56.38
area_4,Other,38.19
area_5,Other,56.11
area_2,Other,53.42
area_5,,62.02
area_5,Other,63.82
area_5,Other,70.82
area_1,Other,33.98
area_3,Other,56.84
area_1,Other,57.53
Other,,66.27
area_3,Other,69.12
area_2,Other,59.53
area_2,,48.5
area_4,Other,55.75
area_3,Other,62.84
area_2,Other,46.18
area_4,Other,41.15
area_1,Other,49.85
area_1,Other,47.66
area_5,Other,65.94
area_4,Other,46.41
area_1,Other,53.62
area_3,Other,58.18
,,65.57
,,65.57
area_4,,54.11
area_2,Other,53.34
area_3,Other,68.21
area_3,Other,53.64
area_2,Other,55.79
area_2,Other,52.98
area_5,Other,66.12
area_2,Other,58.01
area_1,Other,58.93
Other,,61.79
area_1,Other,50.84
area_5,25.0,50.19
area_4,Other,45.47
area_1,Other,47.41
area_1,Other,56.6
area_2,Other,36.84
area_5,25.0,59.88
area_5,Other,78.6
area_2,Other,57.34
area_3,Other,62.74
area_1,Other,56.42
area_2,Other,63.34
area_4,Other,60.65
area_2,Other,62.08
area_1,Other,49.65
area_3,Other,60.51
area_3,Other,70.45
area_3,Other,72.97
area_5,Other,64.7
area_2,Other,65.45
area_4,Other,51.08
area_1,Other,46.79
Other,,57.91
area_3,Other,66.1
area_3,Other,62.76
area_2,Other,45.2
area_3,Other,53.44
area_1,Other,50.59
area_3,Other,57.07
area_1,,52.48
area_4,Other,47.15
area_4,Other,58.07
area_5,Other,59.18
area_5,25.0,59.38
area_1,Other,56.29
area_5,Other,59.1
Other,,65.65
area_3,Other,65.48
area_5,Other,62.43
area_5,,63.0
area_3,Other,54.84
area_4,Other,56.01
area_1,Other,55.76
area_5,25.0,57.33
area_3,Other,68.96
area_4,Other,62.89
area_1,Other,52.43
area_4,Other,48.93
area_4,Other,41.85
area_3,Other,59.04
area_4,Other,53.31
area_2,Other,66.56
area_3,Other,63.96
area_2,Other,57.76
area_3,Other,60.87
area_5,Other,68.07
area_1,Other,55.77
area_5,Other,58.63
area_1,Other,60.88
Other,,60.92
,,57.05
area_4,Other,53.17
area_3,Other,62.35
area_2,Other,47.02
area_4,Other,50.66
area_1,Other,60.63
area_5,Other,64.03
area_5,Other,70.05
area_2,Other,58.34
area_3,Other,70.42
area_1,Other,57.79
area_3,Other,72.15
area_1,Other,44.61
area_1,Other,57.33
area_2,Other,50.22
area_1,Other,50.65
area_3,Other,63.4
area_3,Other,63.26
area_5,Other,67.84
area_3,Other,58.08
area_1,Other,51.58
area_2,Other,52.6
area_1,Other,55.07
area_3,Other,62.12
area_4,Other,49.43
area_3,Other,73.9
area_1,Other,56.77
area_1,Other,57.25
area_5,Other,61.45
area_2,Other,55.8
area_2,Other,61.53
area_1,Other,56.42
area_3,Other,65.54
area_5,Other,60.31
area_3,Other,53.52
area_4,Other,52.95
area_3,Other,67.44
area_4,Other,64.73
area_5,,62.23
area_4,,42.37
area_2,Other,40.8
area_2,Other,48.62
area_2,Other,53.52
area_1,Other,52.05
area_5,Other,53.51
area_1,Other,59.25
area_5,Other,64.34
area_3,Other,67.21
area_5,Other,66.96
area_1,Other,54.22
area_1,Other,52.9
area_4,Other,51.49
area_2,Other,48.03
area_4,Other,61.59
area_3,Other,58.53
area_3,Other,59.22
area_1,Other,58.83
area_3,Other,46.54
area_2,Other,53.83
area_1,Other,44.24
area_3,Other,61.3
area_1,Other,56.14
area_5,Other,68.09
area_2,Other,51.05
area_3,Other,53.34
area_5,Other,65.87
area_2,Other,57.64
area_3,Other,65.8
area_4,Other,59.06
area_2,Other,55.43
area_2,,56.89
area_2,Other,56.17
Other,,68.91
area_4,Other,56.82
area_1,Other,63.75
Other,,64.48
area_5,25.0,64.37
Other,,66.88
area_2,Other,51.94
area_1,Other,60.96
area_2,Other,58.34
area_5,25.0,63.82
area_1,Other,50.43
area_3,Other,68.58
area_5,25.0,65.43
area_1,Other,67.34
area_5,Other,61.7
area_5,25.0,54.08
area_3,Other,58.61
area_5,Other,63.68
area_1,Other,55.9
area_5,25.0,55.12
area_2,,55.56
area_1,Other,61.37
area_1,Other,59.99
area_1,Other,49.8
area_1,Other,59.36
area_3,Other,64.44
area_4,Other,41.67
area_2,Other,55.04
area_1,Other,54.17
area_5,Other,71.8
area_2,,51.47
area_1,Other,52.62
area_4,Other,46.25
,,60.09
,,60.09
area_3,Other,49.44
area_3,Other,64.52
area_1,Other,56.21
area_1,Other,59.91
area_4,Other,56.94
area_5,Other,68.01
area_2,Other,49.26
area_4,Other,54.16
area_4,Other,49.43
area_4,Other,53.24
area_3,Other,55.0
area_1,Other,55.39
area_5,Other,55.74
area_5,Other,62.26
area_3,Other,63.88
area_5,Other,69.15
area_1,Other,49.96
area_5,Other,67.67
area_3,Other,71.96
area_5,25.0,62.12
area_2,Other,64.01
area_1,Other,61.43
area_4,Other,57.27
area_1,Other,60.12
area_2,Other,57.36
area_4,Other,42.66
area_4,Other,52.25
area_4,Other,55.24
area_1,Other,47.54
area_5,Other,68.17
area_2,Other,44.08
area_2,Other,52.33
area_1,Other,62.33
area_1,Other,57.86
area_3,Other,58.21
area_5,Other,63.99
area_1,Other,51.13
area_2,Other,62.65
area_5,25.0,65.13
area_1,Other,50.88
area_1,Other,48.4
Other,,64.51
area_3,Other,63.12
area_3,Other,52.49
area_1,Other,48.75
area_4,Other,43.61
area_2,Other,52.57
area_4,Other,54.24
area_3,Other,62.6
area_3,Other,66.12
,,59.14
,,59.14
area_1,Other,54.07
area_1,Other,50.51
area_1,Other,61.91
area_5,Other,76.26
area_5,Other,56.29
Other,,63.2
area_3,Other,49.25
,,55.87
area_1,Other,63.92
area_2,Other,62.23
area_5,Other,67.79
area_5,Other,69.87
area_3,Other,60.03
area_1,Other,44.47
area_3,Other,65.24
area_1,Other,54.78
area_1,Other,62.17
area_5,Other,67.89
area_5,Other,58.44
area_3,Other,65.22
area_2,Other,53.39
area_1,Other,54.65
area_3,Other,54.58
area_3,Other,70.84
area_2,Other,53.38
area_1,Other,49.57
area_3,Other,63.02
area_1,Other,50.79
area_4,Other,46.94
area_4,Other,50.2
area_2,Other,65.32
area_1,Other,66.72
area_2,Other,50.09
area_3,Other,72.68
area_2,Other,55.57
Other,,64.96
area_3,Other,58.88
area_5,25.0,55.5
area_1,Other,61.67
Other,,66.35
area_4,Other,46.26
area_5,25.0,53.32
area_3,,55.78
area_2,,58.84
area_3,Other,72.33
area_4,,52.61
area_5,Other,66.35
area_3,Other,64.88
area_1,Other,58.15
area_1,,54.5
area_3,Other,68.33
area_1,Other,47.89
area_5,Other,58.6
,,50.49
area_1,Other,50.14
area_4,Other,63.19
area_4,Other,53.01
area_5,Other,70.17
area_4,Other,48.42
area_3,Other,71.5
area_3,Other,67.4
area_5,25.0,64.12
area_5,25.0,53.6
area_2,Other,55.46
area_1,Other,52.96
area_5,25.0,62.73
area_1,Other,60.89
area_5,Other,64.25
area_3,Other,62.97
area_1,,54.09
area_4,Other,63.2
area_5,Other,66.77
area_5,Other,61.38
area_1,Other,54.78
area_4,,45.94
area_5,Other,61.22
area_4,Other,54.81
area_3,Other,72.57
area_5,Other,72.67
area_5,25.0,56.11
area_5,Other,62.27
area_2,Other,57.92
area_2,Other,51.27
area_3,Other,67.28
area_5,Other,60.8
area_5,Other,63.22
area_3,Other,60.85
area_2,Other,49.56
area_1,Other,52.12
area_3,Other,64.41
area_1,Other,56.84
area_3,Other,62.57
area_3,Other,74.31
area_1,Other,46.21
area_1,Other,59.74
area_5,Other,59.11
area_5,25.0,59.08
area_3,Other,69.38
area_2,Other,59.98
,,59.04
area_3,Other,64.11
area_3,Other,74.88
area_3,Other,60.92
area_2,Other,60.91
area_1,Other,62.89
area_1,Other,51.74
area_4,Other,40.77
area_3,Other,53.72
area_2,Other,58.63
area_3,Other,65.93
area_3,,58.78
area_3,Other,66.55
area_4,Other,41.0
area_2,Other,54.36
area_3,Other,68.12
area_1,Other,47.79
area_3,Other,50.1
area_5,Other,68.76
area_4,Other,52.47
area_4,Other,51.95
area_3,Other,65.43
area_5,Other,65.98
area_2,Other,58.4
area_2,Other,53.4
Other,,56.23
area_1,Other,61.87
,,58.78
,,58.78
area_1,Other,51.45
area_3,Other,58.78
area_3,Other,71.8
area_1,Other,56.97
area_5,25.0,59.35
area_3,Other,63.84
area_3,Other,66.17
area_1,Other,45.5
area_1,Other,61.56
area_1,Other,44.51
area_5,Other,61.41
area_3,Other,54.22
area_2,Other,43.61
area_1,Other,46.72
area_4,Other,51.64
area_4,Other,53.88
area_5,Other,65.78
area_3,Other,57.5
area_3,Other,60.92
area_1,Other,57.28
area_1,Other,57.63
area_4,Other,55.09
area_2,Other,47.78
area_5,Other,61.98
area_5,Other,63.4
area_1,Other,63.9
area_2,Other,53.19
area_2,Other,49.51
area_5,Other,65.83
area_3,Other,72.56
area_3,Other,60.89
Other,,61.89
area_1,Other,57.01
area_2,Other,58.42
area_5,Other,62.16
area_2,Other,45.82
area_2,Other,47.72
area_3,Other,70.85
area_5,Other,67.83
area_2,Other,46.28
