AREA,DISTRICT,SAFETY
area_1,Other,53.33
area_5,Other,66.07
area_4,Other,51.85
area_3,Other,66.08
area_5,Other,68.07
area_3,Other,60.38
area_3,Other,62.51
area_4,Other,55.33
area_2,Other,65.96
area_1,Other,59.4
area_5,Other,69.05
area_3,Other,63.62
area_5,Other,66.66
area_5,25.0,57.63
area_4,,48.28
area_2,Other,59.87
area_3,Other,51.57
area_5,,66.08
area_5,Other,70.97
area_2,Other,52.94
area_3,Other,53.25
area_5,Other,67.31
area_5,Other,63.06
area_2,Other,52.18
area_3,Other,64.13
area_4,Other,48.65
area_5,Other,63.97
area_3,Other,52.45
area_2,Other,48.71
Other,,62.9
area_4,,48.62
area_2,Other,59.47
area_1,Other,49.73
area_3,Other,63.66
area_3,Other,42.78
area_3,Other,67.33
area_3,,57.03
area_3,Other,61.2
area_1,Other,56.18
Other,,55.61
area_3,Other,59.4
area_4,Other,45.99
area_1,Other,58.38
area_1,Other,53.29
area_2,Other,60.92
area_3,Other,58.37
area_1,Other,60.57
area_3,Other,67.09
area_5,Other,60.34
area_4,Other,46.41
area_5,Other,69.42
area_2,Other,48.5
area_1,Other,59.84
area_3,Other,62.04
area_3,Other,72.19
area_3,Other,47.9
area_3,Other,53.32
area_1,Other,51.76
area_1,Other,51.06
area_5,Other,53.42
area_1,Other,49.2
area_5,25.0,61.7
area_2,Other,44.19
area_3,,64.54
area_2,Other,46.48
area_2,Other,55.81
area_3,Other,62.71
Other,,50.0
area_4,Other,49.03
area_1,Other,60.58
area_2,Other,56.52
area_3,Other,67.01
area_2,,47.31
,,59.41
,,59.41
area_5,Other,63.45
area_5,Other,73.69
area_5,Other,68.73
area_4,Other,54.25
area_1,Other,49.06
area_4,Other,59.36
area_3,,62.04
area_1,Other,62.2
area_4,,48.18
area_2,Other,63.11
area_2,Other,46.6
area_5,Other,68.69
area_1,,54.74
area_3,Other,55.84
area_2,Other,55.06
area_5,Other,62.32
area_5,Other,66.19
area_3,Other,59.87
area_2,Other,55.81
area_4,Other,60.28
area_3,Other,69.51
area_3,Other,72.32
area_1,Other,58.74
area_1,Other,56.12
area_2,Other,45.55
area_1,Other,63.31
area_2,Other,44.35
area_3,Other,63.68
area_3,Other,54.33
area_1,Other,57.92
area_5,Other,64.49
area_1,,53.59
area_5,25.0,61.76
area_2,Other,54.31
,,61.38
area_1,Other,60.09
area_3,Other,58.68
area_2,Other,62.26
area_2,Other,49.53
area_3,Other,55.74
area_1,Other,55.7
area_3,Other,69.84
,,49.87
area_2,Other,56.85
Other,,65.0
area_3,Other,64.25
area_5,Other,60.39
area_4,Other,46.48
area_1,Other,45.7
area_3,Other,68.31
area_3,,67.44
area_3,Other,68.74
Other,,65.07
area_3,Other,65.97
area_2,Other,41.3
area_3,Other,70.74
area_2,Other,40.26
area_4,Other,56.55
area_3,Other,63.71
area_3,Other,62.38
area_1,Other,59.34
Other,,52.77
area_2,Other,57.48
area_3,Other,64.47
area_1,Other,42.96
area_2,Other,51.22
area_3,Other,56.35
area_3,Other,71.51
Other,,61.05
area_3,Other,67.17
area_4,Other,54.65
area_4,Other,35.53
area_1,,55.4
area_1,Other,46.74
Other,,61.44
area_4,Other,60.24
,,53.14
area_1,Other,47.18
,,54.32
area_3,Other,66.79
area_5,Other,45.77
area_5,Other,60.15
area_2,Other,56.61
area_2,Other,48.69
area_5,25.0,52.88
area_2,Other,53.31
area_3,Other,67.4
area_3,Other,56.05
area_1,Other,32.49
area_4,Other,42.46
area_4,Other,48.29
area_5,Other,58.1
area_3,Other,65.62
area_5,25.0,57.22
area_5,25.0,60.37
area_3,Other,67.19
area_3,Other,56.22
,,62.36
,,62.36
area_3,Other,61.6
area_1,Other,57.77
area_3,Other,71.7
area_4,Other,56.36
area_4,Other,48.52
area_3,Other,68.43
area_1,Other,57.7
area_3,Other,64.66
area_5,Other,57.6
area_1,Other,49.37
Other,,60.32
area_3,Other,60.61
area_5,Other,61.14
area_4,Other,58.66
area_5,Other,68.56
area_5,Other,65.64
area_3,Other,51.82
Other,,63.41
area_3,Other,65.29
area_2,Other,58.84
area_3,Other,53.94
area_1,Other,56.76
area_2,Other,55.44
Other,,58.54
area_5,25.0,62.19
area_3,Other,60.46
